#{"t_start": 1712595706.9490826, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level
204.0,204,3.083285,0.0,0.0,0.0,1.9328358208955223,0.8290792090937943,0.7853658536585366,0.0,0.0,913.9423076923077,0,0,19.88780133817686,5.445714285714286
204.0,204,6.097523,0.0,0.0,0.0,2.4776119402985075,0.7624784426432484,0.5745721271393643,0.07823960880195599,0.0,907.8130081300814,0,0,19.546146992904752,5.333333333333333
204.0,204,9.331974,0.0,0.0,0.0,2.9925373134328357,0.6938969801308432,0.4437194127243067,0.13213703099510604,0.0,865.7699115044247,0,0,19.099891027245793,5.172932330827067
204.0,204,12.382157,0.0,0.0,0.0,3.376865671641791,0.6451312830060603,0.3574051407588739,0.11627906976744186,0.022031823745410038,916.3928571428571,0,0,18.085756498793177,4.845070422535211
204.0,204,15.476285,0.0,0.0,0.0,3.582089552238806,0.6209407909768029,0.29285014691478944,0.10773751224289912,0.040156709108716944,906.9711538461538,0,0,18.552582767072792,4.991935483870968
204.0,204,18.500438,0.0,0.0,0.0,4.384328358208955,0.5226525215692592,0.2612244897959184,0.10285714285714286,0.08653061224489796,993.957627118644,0,0,15.89274481886843,4.179640718562874
203.0,204,21.600758,0.004901960784313725,0.0007002801120448179,0.008504606661941885,4.481343283582089,0.5072027644912369,0.22478991596638656,0.09593837535014006,0.10644257703081232,924.1388888888889,0,0,17.052256728981597,4.47945205479452
198.0,204,24.742988,0.029411764705882353,0.00428921568627451,0.04043545878693624,4.552238805970149,0.5030351281502058,0.2097170971709717,0.08733087330873308,0.09225092250922509,946.1616161616162,0,0,17.76071663150686,4.746153846153846
202.0,204,28.564478,0.00980392156862745,0.004901960784313725,0.017842660178426603,4.492537313432836,0.5044601598479387,0.19146608315098468,0.07768052516411379,0.09737417943107221,872.7184466019418,0,0,18.095924718345582,4.829268292682927
197.0,204,31.895618,0.03431372549019608,0.00784313725490196,0.05646481178396072,4.507462686567164,0.49930689644677423,0.18024691358024691,0.07111111111111111,0.0962962962962963,994.6122448979592,0,0,17.96674189893102,4.921739130434783
194.0,204,35.047446,0.049019607843137254,0.011586452762923352,0.06570996978851963,4.4440298507462686,0.5061743807952856,0.17530419107706174,0.0644434429923389,0.0946372239747634,875.9904761904762,0,0,18.958590340632675,5.114754098360656
197.0,204,38.276251,0.03431372549019608,0.013480392156862746,0.041341653666146644,4.376865671641791,0.5129542541538792,0.160182119205298,0.062086092715231786,0.0939569536423841,868.8440366972477,0,0,18.521185460629724,4.976190476190476
200.0,204,41.41113,0.0196078431372549,0.013951734539969835,0.028309104820198928,4.414179104477612,0.5079556443298165,0.154434250764526,0.058486238532110095,0.08868501529051988,989.4814814814815,0,0,18.03506066457469,4.884615384615385
198.0,204,44.509842,0.029411764705882353,0.015056022408963586,0.03864734299516908,4.462686567164179,0.5021354945440708,0.14463397299218195,0.05650319829424307,0.0867093105899076,832.6893203883495,0,0,18.250101454829018,4.944
198.0,204,47.848406,0.029411764705882353,0.016013071895424835,0.04276069017254314,4.582089552238806,0.49242564633803465,0.13579017264276227,0.052788844621513946,0.08864541832669323,962.7314814814815,0,0,17.541916774755165,4.664179104477612
200.0,204,51.056265,0.0196078431372549,0.016237745098039217,0.019825535289452814,4.623134328358209,0.48798497352013226,0.12920298879202988,0.048567870485678705,0.08125778331257784,924.0784313725491,0,0,18.117397022005296,4.864
192.0,204,54.324703,0.058823529411764705,0.018742791234140715,0.09118773946360154,4.518656716417911,0.4922811398390851,0.12779083431257343,0.04670975323149236,0.0754994124559342,836.0412371134021,0,0,18.153113423831062,4.890756302521009
202.0,204,57.436393,0.00980392156862745,0.01824618736383442,0.009223674096848577,4.5559701492537314,0.49223889229671286,0.1209095951192457,0.04409317803660566,0.0684969495285635,841.8867924528302,0,0,18.511415478541494,4.991935483870968
198.0,204,60.575685,0.029411764705882353,0.018833849329205368,0.03255109765329296,4.611940298507463,0.49199498893954063,0.11146161934805468,0.04416403785488959,0.06572029442691903,944.5840707964602,0,0,18.114385070306856,4.870503597122302
195.0,204,63.77406,0.04411764705882353,0.020098039215686276,0.07194244604316546,4.541044776119403,0.497641647599537,0.10977744436109027,0.04251062765691423,0.06601650412603151,911.2718446601941,0,0,18.150857536929053,4.904761904761905
195.0,204,67.206194,0.04411764705882353,0.021241830065359478,0.052873563218390804,4.690298507462686,0.4859669876217851,0.10014306151645208,0.04101096804959466,0.06795422031473533,976.0471698113207,0,0,17.812554714520598,4.84
196.0,204,70.360481,0.0392156862745098,0.022058823529411766,0.045563549160671464,4.708955223880597,0.485925837395251,0.09521640091116174,0.03667425968109339,0.06514806378132118,928.8118811881188,0,0,17.968275044994282,4.80672268907563
192.0,204,73.577443,0.058823529411764705,0.023657289002557546,0.08649468892261002,4.649253731343284,0.491145834221786,0.08860759493670886,0.03426451331296377,0.05718027062418158,1017.0776699029126,0,0,18.037260456524354,4.943548387096774
193.0,204,76.772294,0.05392156862745098,0.024918300653594773,0.06394453004622497,4.623134328358209,0.48603738157568255,0.08732984293193717,0.03518324607329843,0.05570680628272251,961.9134615384615,0,0,18.12977809223138,4.921259842519685
193.0,204,80.00122,0.05392156862745098,0.02607843137254902,0.06036363636363636,4.458955223880597,0.4998464662302362,0.08494363929146538,0.03462157809983897,0.05475040257648953,803.9607843137255,0,0,18.452801924196553,4.934959349593496
201.0,204,83.116342,0.014705882352941176,0.02564102564102564,0.02127659574468085,4.544776119402985,0.4916168247996056,0.08106016637647515,0.03366221706326175,0.057071000193461015,845.8282828282828,0,0,17.569844722565,4.637096774193548
201.0,204,86.317519,0.014705882352941176,0.02523602033405955,0.0228310502283105,4.5335820895522385,0.49221933331435325,0.07728119180633147,0.03128491620111732,0.05567970204841713,887.109243697479,0,0,18.225062552330712,4.895104895104895
197.0,204,89.501382,0.03431372549019608,0.025560224089635854,0.04747774480712166,4.526119402985074,0.49491206258086173,0.07616310400574816,0.029459313813544098,0.05622417819292258,926.8019801980198,0,0,18.13677048313185,4.8604651162790695
189.0,204,92.828897,0.07352941176470588,0.027214334009465855,0.08277404921700224,4.574626865671642,0.48575456306630443,0.07400972897845726,0.03144544822793607,0.056289089645587216,986.75,0,0,18.459370253358447,4.992307692307692
188.0,204,96.111229,0.0784313725490196,0.02892156862745098,0.10888888888888888,4.541044776119403,0.4889037904114082,0.07099596231493943,0.031123822341857336,0.05652759084791386,991.4563106796116,0,0,17.895307582806392,4.8347107438016526
194.0,204,99.31091,0.049019607843137254,0.02956989247311828,0.07385524372230429,4.563432835820896,0.4912649026463182,0.06810035842293907,0.03046594982078853,0.05555555555555555,939.5046728971963,0,0,17.780297971338324,4.804511278195489
200.0,204,102.429899,0.0196078431372549,0.02925857843137255,0.019525801952580194,4.597014925373134,0.4920158460853526,0.06453139791732408,0.030766803408015148,0.0552224676554118,869.3983050847457,0,0,18.35701884956034,4.842465753424658
199.0,204,105.615767,0.024509803921568627,0.029114676173499703,0.035164835164835165,4.567164179104478,0.4923049000168129,0.06516750803120698,0.029524246596297998,0.05751873948294325,919.957264957265,0,0,17.90329930178968,4.753521126760563
196.0,204,108.791518,0.0392156862745098,0.029411764705882353,0.05508145849495733,4.619402985074627,0.49103579642605644,0.06059705926035942,0.028664785385415118,0.053319471260953516,904.0204081632653,0,0,17.95434008207858,4.818181818181818
203.0,204,112.006179,0.004901960784313725,0.028711484593837534,0.0055423594615993665,4.664179104477612,0.48970005930005134,0.06113033448673587,0.026672433679354096,0.052768166089965395,833.3523809523809,0,0,18.639590078949244,5.046875
195.0,204,115.143144,0.04411764705882353,0.029139433551198256,0.06981981981981981,4.682835820895522,0.48108634859471194,0.061421960454354226,0.02636376384798766,0.055251717851633714,810.8190476190476,0,0,17.916866039612607,4.826771653543307
197.0,204,118.311581,0.03431372549019608,0.02927927927927928,0.033707865168539325,4.608208955223881,0.4927305493436809,0.060589519650655024,0.026200873362445413,0.05049126637554585,857.1262135922331,0,0,18.666390355690123,5.016806722689076
200.0,204,121.474374,0.0196078431372549,0.029024767801857584,0.03338391502276176,4.604477611940299,0.4929638049584128,0.05778427205100956,0.024574920297555793,0.0536663124335813,925.039603960396,0,0,16.931605126129895,4.503759398496241
201.0,204,124.642843,0.014705882352941176,0.02865761689291101,0.02283464566929134,4.619402985074627,0.48983118496935696,0.05447017725449605,0.023418294734118255,0.05421141156682624,918.4036697247707,0,0,17.798573711895294,4.686567164179104
