#{"t_start": 1711640292.9316435, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle
204.0,204,32.256736,0.0,0.0,0.0,1.3955223880597014,0.8773076646164408,0.7268292682926829,0.0,0.0,1029.4645161290323,0,0
204.0,204,56.649652,0.0,0.0,0.0,1.7649253731343284,0.8209463971678341,0.6161369193154034,0.004889975550122249,0.0,1030.140625,0,0
204.0,204,77.074662,0.0,0.0,0.0,1.9179104477611941,0.7961497058394499,0.48450244698205547,0.04730831973898858,0.0,920.7739130434783,0,0
204.0,204,96.20376,0.0,0.0,0.0,2.126865671641791,0.762704207126067,0.3880048959608323,0.07221542227662178,0.0,980.1946902654868,0,0
204.0,204,113.778253,0.0,0.0,0.0,2.1417910447761193,0.7516815305766184,0.32027424094025464,0.07737512242899118,0.0,977.1142857142858,0,0
204.0,204,131.436787,0.0,0.0,0.0,2.41044776119403,0.7150471231118646,0.28489795918367344,0.10938775510204081,0.0,1072.7931034482758,0,0
204.0,204,147.573606,0.0,0.0,0.0,2.503731343283582,0.7024081402150856,0.2463261021693492,0.11056682995101469,0.0,995.4553571428571,0,0
204.0,204,161.553413,0.0,0.0,0.0,2.626865671641791,0.6900018622324074,0.21922841396203308,0.10716472749540723,0.000612369871402327,991.2395833333334,0,0
204.0,204,176.475681,0.0,0.0,0.0,2.514925373134328,0.6993807262757413,0.2014153511159499,0.08655416439847577,0.0010887316276537834,982.2211538461538,0,0
204.0,204,190.204688,0.0,0.0,0.0,2.701492537313433,0.6744335788303316,0.18128368446839785,0.08623223909848114,0.007349338559529643,1073.08,0,0
204.0,204,203.670022,0.0,0.0,0.0,2.955223880597015,0.6452684596559776,0.16792873051224944,0.07973273942093541,0.015144766146993319,1036.090909090909,0,0
204.0,204,216.726806,0.0,0.0,0.0,2.955223880597015,0.6371965270503369,0.15271539403838302,0.0759493670886076,0.01837484687627603,969.5943396226415,0,0
204.0,204,229.566729,0.0,0.0,0.0,3.1007462686567164,0.6230142578654685,0.14474180173388618,0.0731247644176404,0.022615906520919715,1027.8198198198197,0,0
204.0,204,241.720703,0.0,0.0,0.0,3.16044776119403,0.6146586187614799,0.1351067553377669,0.06930346517325867,0.028351417570878543,949.8918918918919,0,0
204.0,204,253.233495,0.0,0.0,0.0,3.5074626865671643,0.5844199258427132,0.12577589023195035,0.062071218556027444,0.039202874877491016,1038.3454545454545,0,0
204.0,204,263.782844,0.0,0.0,0.0,3.537313432835821,0.5759343189602089,0.11638591117917305,0.06217457886676876,0.041653905053598776,996.2549019607843,0,0
204.0,204,274.215576,0.0,0.0,0.0,3.6417910447761193,0.5555566313927139,0.11328913231478813,0.05851830498702796,0.04669933698472182,942.3301886792453,0,0
204.0,204,284.985909,0.0,0.0,0.0,3.529850746268657,0.5767490639996871,0.11026408930029949,0.05635720119793085,0.04247209365641165,952.8796296296297,0,0
204.0,204,296.260852,0.0,0.0,0.0,3.4141791044776117,0.5822244747571027,0.10575187000257931,0.052875935001289655,0.037915914366778436,1019.2931034482758,0,0
