#{"t_start": 1712655105.4197278, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level
204.0,204,5.209808,0.0,0.0,0.0,1.6791044776119404,0.8564666540440793,0.7317073170731707,0.0,0.0,979.858064516129,0,0,20.327216998350117,5.746913580246914
204.0,204,9.862391,0.0,0.0,0.0,2.220149253731343,0.7871299402148498,0.60880195599022,0.019559902200488997,0.0,969.3622047244095,0,0,19.95978211352268,5.617647058823529
204.0,204,14.197587,0.0,0.0,0.0,2.455223880597015,0.7517254335316993,0.4828711256117455,0.06851549755301795,0.0,881.8771929824561,0,0,19.933760007760505,5.544715447154472
204.0,204,18.535537,0.0,0.0,0.0,2.7611940298507465,0.7144192682316226,0.39412484700122397,0.08812729498164015,0.0,977.2631578947369,0,0,19.411597401512722,5.424
204.0,204,22.626123,0.0,0.0,0.0,2.906716417910448,0.6914679984496355,0.3330068560235064,0.0920666013712047,0.0,907.2843137254902,0,0,19.866023980606315,5.447368421052632
204.0,204,26.867268,0.0,0.0,0.0,3.3358208955223883,0.6411494199172221,0.2922448979591837,0.10612244897959183,0.012244897959183673,1070.3589743589744,0,0,18.16894762536283,5.0359712230215825
204.0,204,30.96359,0.0,0.0,0.0,3.417910447761194,0.618943059162152,0.26452064380685797,0.10776766969909027,0.01819454163750875,990.0608695652174,0,0,18.888260062172765,5.156716417910448
204.0,204,34.871711,0.0,0.0,0.0,3.7425373134328357,0.5782134071067482,0.23515003061849357,0.10471524800979792,0.03735456215554195,1017.066037735849,0,0,17.489308434306942,4.744525547445256
204.0,204,38.696916,0.0,0.0,0.0,3.671641791044776,0.5773719429879786,0.21720195971692977,0.08982035928143713,0.041916167664670656,948.4554455445544,0,0,19.276926987449308,5.275862068965517
204.0,204,42.519777,0.0,0.0,0.0,3.9141791044776117,0.5536665518790428,0.1979421852033317,0.08525232729054386,0.044585987261146494,1057.7843137254902,0,0,17.566024567160763,4.830645161290323
204.0,204,46.481696,0.0,0.0,0.0,4.026119402985074,0.5371603609314081,0.1910913140311804,0.0779510022271715,0.04721603563474387,1000.0956521739131,0,0,18.646154843145162,5.114503816793893
204.0,204,50.348062,0.0,0.0,0.0,4.227611940298507,0.5120964682011211,0.17558187015108206,0.07554103715802368,0.055941200489995915,972.6605504587156,0,0,17.658468751899246,4.708955223880597
204.0,204,54.214546,0.0,0.0,0.0,4.324626865671642,0.5020569671506857,0.1620806633999246,0.07500942329438372,0.06181681115718055,1013.7037037037037,0,0,17.762899280101696,4.802919708029197
204.0,204,58.011145,0.0,0.0,0.0,4.477611940298507,0.49048398008096744,0.1543577178858943,0.0703535176758838,0.07175358767938397,936.5315315315315,0,0,17.892323384549673,4.880597014925373
203.0,204,61.808501,0.004901960784313725,0.000326797385620915,0.006001500375093774,4.574626865671642,0.477687291548817,0.14281045751633986,0.0673202614379085,0.07352941176470588,1053.8108108108108,0,0,17.45139802164216,4.739130434782608
