#{"t_start": 1710149226.7347496, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle
209.0,209,74.210101,0.0,0.0,0.0,1.3992537313432836,0.8745538450407697,0.7285714285714285,0.0,0.0,152522,23,14
209.0,209,184.929132,0.0,0.0,0.0,1.6902985074626866,0.8257798782215049,0.6348448687350835,0.00477326968973747,0.0,262554,47,19
209.0,209,321.615378,0.0,0.0,0.0,1.8507462686567164,0.7922053158728978,0.5079617834394905,0.05732484076433121,0.0,337292,56,19
209.0,209,465.347135,0.0,0.0,0.0,1.9291044776119404,0.771245254536268,0.4026284348864994,0.08721624850657109,0.0,381298,73,20
209.0,209,610.230197,0.0,0.0,0.0,1.962686567164179,0.7553498242170648,0.35564053537284895,0.07743785850860421,0.0,416676,97,20
209.0,209,764.502717,0.0,0.0,0.0,2.3059701492537314,0.7078107994824812,0.31713147410358566,0.11075697211155379,0.0,505640,98,20
209.0,209,910.882698,0.0,0.0,0.0,2.287313432835821,0.7044703966437001,0.2896174863387978,0.10314207650273224,0.0,532546,106,21
209.0,209,1057.656072,0.0,0.0,0.0,2.4925373134328357,0.6744240916152437,0.2659892408846384,0.09145248057381948,0.016138673042438732,587660,118,21
209.0,209,1192.396188,0.0,0.0,0.0,2.455223880597015,0.6674844415527957,0.2518597236981934,0.07810839532412327,0.020722635494155154,615141,114,21
209.0,209,1317.746188,0.0,0.0,0.0,2.485074626865672,0.6599537160050353,0.23146819703491153,0.06934481109516978,0.028216164514586323,629772,141,21
209.0,209,1450.528601,0.0,0.0,0.0,2.6305970149253732,0.6391503844537508,0.22260869565217392,0.05608695652173913,0.03782608695652174,637782,126,20
209.0,209,1561.220027,0.0,0.0,0.0,2.593283582089552,0.6397897818340016,0.21163810282981269,0.05181347150259067,0.0438421681944998,658085,128,19
209.0,209,1684.30145,0.0,0.0,0.0,2.735074626865672,0.6096195606735318,0.20198675496688742,0.051508462104488596,0.051140544518027964,689736,134,21
209.0,209,1786.126957,0.0,0.0,0.0,2.9925373134328357,0.5791110083136866,0.19234711308507005,0.05363853775196447,0.06491288008199522,713888,142,21
209.0,209,1870.801699,0.0,0.0,0.0,3.1305970149253732,0.5608479380284125,0.18622448979591838,0.048150510204081634,0.06887755102040816,734902,168,21
209.0,209,1959.926871,0.0,0.0,0.0,3.003731343283582,0.5750520823054658,0.17488789237668162,0.04633781763826607,0.06307922272047832,736457,159,21
209.0,209,2058.849602,0.0,0.0,0.0,3.1343283582089554,0.5613838743668149,0.17163759144625773,0.04305008441193022,0.06893640967923466,744986,107,20
209.0,209,2128.062735,0.0,0.0,0.0,3.283582089552239,0.5420851672959515,0.1674196120116928,0.041456284879085835,0.07201700770661706,761753,165,21
208.0,209,2210.713317,0.004784688995215311,0.0002518257365902795,0.007886435331230283,3.138059701492537,0.5608406548094731,0.16368672878368168,0.03978846638126417,0.07252581213800051,769191,153,21
209.0,209,2270.3381,0.0,0.00023923444976076556,0.0,3.1865671641791047,0.5481785778824426,0.1547846889952153,0.03708133971291866,0.07511961722488038,763477,177,21
209.0,209,2339.214607,0.0,0.000227842333105491,0.0,3.25,0.5478200016331938,0.14786967418546365,0.037821827295511506,0.07701070858965596,761581,138,20
203.0,209,2395.712596,0.028708133971291867,0.0015224010439321444,0.03875379939209726,3.343283582089552,0.5423140662481543,0.14002613240418119,0.03854529616724739,0.062282229965156796,774187,162,20
205.0,209,2449.020108,0.019138755980861243,0.002288329519450801,0.029567854435178165,3.328358208955224,0.5453396717959001,0.13258286429018137,0.03627267041901188,0.05962059620596206,764677,165,20
207.0,209,2493.078853,0.009569377990430622,0.00259170653907496,0.015239477503628448,3.2686567164179103,0.5622823703339682,0.1254996003197442,0.033772981614708236,0.050359712230215826,730927,194,21
209.0,209,2563.605845,0.0,0.002488038277511962,0.0,3.029850746268657,0.5729507115248563,0.12603107615576445,0.03702282754651832,0.04738154613466334,751259,141,21
207.0,209,2616.259244,0.009569377990430622,0.0027603974972396023,0.013595166163141994,3.082089552238806,0.5621632751383129,0.12306273062730627,0.03523985239852399,0.0481549815498155,759476,162,21
209.0,209,2673.015726,0.0,0.002658160552897395,0.0,3.0597014925373136,0.558642190294083,0.12275715047077633,0.03162195771895541,0.04672233078699591,761154,177,21
199.0,209,2738.346152,0.04784688995215311,0.0042720437457279565,0.056022408963585436,3.111940298507463,0.5528023593826425,0.12148249828414551,0.03260123541523679,0.047014413177762525,779259,150,21
203.0,209,2794.56506,0.028708133971291867,0.00511466754660947,0.04887820512820513,3.093283582089552,0.5523986455231331,0.11954899684961035,0.03216713646161499,0.04228154534903001,782682,185,21
197.0,209,2855.097006,0.05741626794258373,0.006858054226475279,0.06955922865013774,3.1902985074626864,0.550127049057446,0.1157675016056519,0.032594733461785486,0.040783558124598586,787519,157,21
197.0,209,2898.004526,0.05741626794258373,0.008488964346349746,0.06241699867197875,3.1641791044776117,0.5493667812019503,0.1157976653696498,0.03284046692607004,0.0398443579766537,784688,175,19
204.0,209,2943.398676,0.023923444976076555,0.008971291866028708,0.03498542274052478,3.208955223880597,0.5440885352581698,0.11479861215869663,0.030623020063357972,0.04042842057625585,764662,195,20
200.0,209,3000.77673,0.0430622009569378,0.010004349717268378,0.06153846153846154,3.2313432835820897,0.5474230128758636,0.11246156098989603,0.03133694537999707,0.038805095914482356,764098,162,21
207.0,209,3050.118682,0.009569377990430622,0.009991556431184915,0.011773940345368918,3.212686567164179,0.5530481351201538,0.11085844229675952,0.029135872654917568,0.03084138715179079,738495,181,21
207.0,209,3109.538833,0.009569377990430622,0.009979494190020506,0.016800584368151936,3.175373134328358,0.5511782174320278,0.110589534723181,0.02913157531409637,0.03354963412950435,762980,146,21
205.0,209,3174.029619,0.019138755980861243,0.01023391812865497,0.021505376344086023,3.082089552238806,0.5569988424531429,0.10955961331901182,0.029269602577873255,0.03235767991407089,767871,152,21
207.0,209,3233.213011,0.009569377990430622,0.010215957584378637,0.01233616037008481,3.048507462686567,0.5648787650804372,0.10764206401045069,0.028870019595035924,0.03305029392553886,777769,164,21
202.0,209,3302.125077,0.03349282296650718,0.01082850667338202,0.052870090634441085,3.044776119402985,0.5593156418126396,0.10742013491154384,0.029782359679266894,0.031182385134275167,783322,151,21
208.0,209,3349.514182,0.004784688995215311,0.010673536989326464,0.00805860805860806,3.033582089552239,0.575145001636337,0.10539367637941724,0.029510229386236826,0.031370117792932424,753056,195,21
209.0,209,3395.279105,0.0,0.010406698564593302,0.0,2.955223880597015,0.5746147896143795,0.10575296108291032,0.027797921198936426,0.031302876480541454,757447,207,21
194.0,209,3465.160931,0.07177033492822966,0.01190337262224297,0.09031318281136198,3.156716417910448,0.5479265148618918,0.10521965044874823,0.0266887104393009,0.030703826169107228,762865,128,20
206.0,209,3517.426988,0.014354066985645933,0.011961722488038277,0.022321428571428572,3.126865671641791,0.5594519035384536,0.10560295134885866,0.024094996541388056,0.031127507493659213,747922,184,20
200.0,209,3569.277095,0.0430622009569378,0.012684989429175475,0.04466313398940197,3.1305970149253732,0.5593637462584589,0.1046878521523552,0.023101194500788822,0.024002704530087897,762635,180,21
207.0,209,3621.524383,0.009569377990430622,0.012614180078294911,0.011535688536409516,3.156716417910448,0.549472665329145,0.10296222882942407,0.02400616672172668,0.02521748706089638,781625,179,21
207.0,209,3666.854804,0.009569377990430622,0.012546517809675705,0.01619718309859155,3.220149253731343,0.5390986568561341,0.10346683893195521,0.02433247200689061,0.025732127476313524,808706,193,21
202.0,209,3721.1827,0.03349282296650718,0.013001872269606824,0.04480955937266617,3.167910447761194,0.5344472986099627,0.10305584826132771,0.024868282402528977,0.024552160168598524,814618,159,21
209.0,209,3760.47552,0.0,0.012725236689402423,0.0,3.078358208955224,0.5494963629071599,0.10124755129394783,0.024126198577172905,0.023404474688112176,790128,200,21
202.0,209,3827.568472,0.03349282296650718,0.013157894736842105,0.049300956585724795,3.0858208955223883,0.5475312150606583,0.10140389859610141,0.02423997576002424,0.02221997778002222,812741,153,21
208.0,209,3874.839879,0.004784688995215311,0.012987012987012988,0.004307250538406317,2.8992537313432836,0.5617002212610899,0.10169156197447819,0.02562073399940647,0.02087248986052033,805402,193,21
206.0,209,3946.664038,0.014354066985645933,0.013014354066985647,0.02118003025718608,2.8843283582089554,0.5672898309737482,0.09995152690256907,0.026369365002423654,0.021328162869607366,809150,131,21
205.0,209,3995.117248,0.019138755980861243,0.013134440379022422,0.023809523809523808,2.917910447761194,0.5609877545364331,0.09923954372623574,0.02737642585551331,0.021007604562737644,816097,168,20
209.0,209,4043.297842,0.0,0.012881854987118146,0.0,2.8022388059701493,0.5861272563861558,0.09870444589430516,0.026563519433311585,0.019945940907819926,786155,175,20
205.0,209,4103.287453,0.019138755980861243,0.012999909722849147,0.030656934306569343,2.783582089552239,0.5839944115786165,0.09758551307847083,0.025425278946405706,0.021218218401316994,769892,174,21
202.0,209,4164.252322,0.03349282296650718,0.013379408116250222,0.04232424677187949,2.9888059701492535,0.5530768352837078,0.09635416666666667,0.024964080459770114,0.02137212643678161,781278,168,21
206.0,209,4210.003934,0.014354066985645933,0.013397129186602871,0.02206461780929866,3.0074626865671643,0.5534908442942339,0.09592664433080586,0.02415799682595662,0.021336624933874095,789993,174,21
203.0,209,4256.444562,0.028708133971291867,0.01367053998632946,0.03513909224011713,3.0261194029850746,0.5604307126406245,0.09441316587267215,0.023819835426591596,0.02122130792550888,778982,196,21
203.0,209,4301.445902,0.028708133971291867,0.013934357424662133,0.03477051460361613,3.014925373134328,0.5602175064665647,0.09448416751787539,0.023408239700374533,0.021365338781069117,782060,194,21
206.0,209,4338.392279,0.014354066985645933,0.013941593796403234,0.022644265887509132,2.970149253731343,0.5686308701947517,0.09344152584908817,0.022001003848084323,0.019156767609168478,769994,208,21
204.0,209,4403.651353,0.023923444976076555,0.014110777714702781,0.03202846975088968,3.0223880597014925,0.5701762746696725,0.09261391676262543,0.022454351044579702,0.020727093271919725,773516,171,20
209.0,209,4469.199273,0.0,0.013875598086124402,0.0,3.074626865671642,0.5607137884874861,0.0925851055227622,0.02134713350044473,0.02199401633379154,767298,157,21
196.0,209,4530.752935,0.06220095693779904,0.014667817083692839,0.08170643528561099,3.0111940298507465,0.5612828274416337,0.09225503462548754,0.02077529252567062,0.02236726896441933,774559,166,20
206.0,209,4575.27115,0.014354066985645933,0.01466275659824047,0.019164955509924708,3.0597014925373136,0.5625177362817279,0.09029681259299867,0.021693163129454147,0.02255462448116532,775655,175,20
205.0,209,4635.318633,0.019138755980861243,0.014733804207488418,0.029500756429652043,3.1529850746268657,0.5516574719843108,0.09071990134114383,0.02135039309388007,0.02065669801140743,803637,163,20
200.0,209,4711.896888,0.0430622009569378,0.015176435406698564,0.06378299120234604,3.126865671641791,0.5584711596980655,0.08964627296189465,0.022544405647487477,0.020722635494155154,816154,122,21
199.0,209,4780.573605,0.04784688995215311,0.01567905778432094,0.06322674418604651,3.171641791044776,0.5419373245520379,0.09003215434083602,0.02183504075375757,0.0182457189860166,824999,149,21
193.0,209,4843.038114,0.07655502392344497,0.016601420907641003,0.09714726291441789,3.2276119402985075,0.544386368075644,0.08771929824561403,0.022335249889429455,0.01805985552115583,814153,155,21
202.0,209,4899.469592,0.03349282296650718,0.016853531386131545,0.050489826676714394,3.220149253731343,0.5400674098548787,0.08701336432306798,0.022007553747821033,0.01757699012202208,815107,174,21
206.0,209,4958.99608,0.014354066985645933,0.016816774556712637,0.023378582202111614,3.2574626865671643,0.5366097647641657,0.0860168885072277,0.02196937169028195,0.0170316301703163,824533,164,21
202.0,209,5014.173112,0.03349282296650718,0.017058456417724153,0.04954268292682927,3.324626865671642,0.5307825793790578,0.0850028216704289,0.0208803611738149,0.017071106094808126,809782,186,21
200.0,209,5066.296786,0.0430622009569378,0.017429938482570063,0.06245353159851301,3.4029850746268657,0.5251286559157582,0.08326377295492488,0.0219810795770729,0.01766833611574847,814275,152,21
203.0,209,5112.957579,0.028708133971291867,0.017588786306354874,0.04259927797833935,3.3208955223880596,0.5305612333523785,0.0835448247479251,0.021606420193428906,0.016736401673640166,821028,155,20
194.0,209,5164.338198,0.07177033492822966,0.018341307814992026,0.11210096510764662,3.1791044776119404,0.5427003306120921,0.0827861639477425,0.021254992215528328,0.01712583767684289,814197,124,19
206.0,209,5219.644775,0.014354066985645933,0.018286688077603724,0.024513338139870222,3.123134328358209,0.5347411125381073,0.08371720408572,0.02096268108685493,0.017491154282662395,827642,165,21
208.0,209,5249.787538,0.004784688995215311,0.01810422863054442,0.005961251862891207,3.0597014925373136,0.5574477242042472,0.08316323171133207,0.019687890959373146,0.01652729307960756,809793,203,21
207.0,209,5286.89061,0.009569377990430622,0.01799043062200957,0.015228426395939087,2.958955223880597,0.566130452300072,0.08249967519812915,0.018708587761465507,0.015915291672080032,782840,209,21
204.0,209,5359.466514,0.023923444976076555,0.018068496600352556,0.03599712023038157,3.014925373134328,0.5522848109016222,0.08347224003077318,0.01923323503013207,0.01602769585844339,824632,128,21
207.0,209,5398.408045,0.009569377990430622,0.017958118436587338,0.018760195758564437,2.925373134328358,0.5707607849606501,0.0823157228725087,0.01860170832015185,0.015374881366656122,796006,201,21
205.0,209,5457.621722,0.019138755980861243,0.01797325481536008,0.03223330775134305,2.9440298507462686,0.5729872334746571,0.08119925046845722,0.017988757026858215,0.015365396627108058,783336,163,21
209.0,209,5504.870631,0.0,0.017745745260735267,0.0,3.1082089552238807,0.5547503192692649,0.08046118749614649,0.01763363955854245,0.015475676675504039,783398,202,21
208.0,209,5557.635514,0.004784688995215311,0.017583732057416267,0.008397480755773267,3.0261194029850746,0.5593931033362837,0.07962500760942351,0.018262616424179704,0.01479271930358556,777303,190,21
209.0,209,5614.631662,0.0,0.017366648945596315,0.0,3.1305970149253732,0.541860043554289,0.07910555421976437,0.01743207501803318,0.01677085837941813,777516,157,19
203.0,209,5674.413522,0.028708133971291867,0.0175049597385926,0.03911439114391144,3.2425373134328357,0.532921009732397,0.07904269849753548,0.016628065799631806,0.016806223647485005,784408,141,20
200.0,209,5727.108078,0.0430622009569378,0.017812878307488327,0.05325443786982249,3.291044776119403,0.5413546698697507,0.07876049063912201,0.016139444803098774,0.015024355889430132,769021,145,21
202.0,209,5775.667042,0.03349282296650718,0.01799954431533379,0.04059040590405904,3.2238805970149254,0.5455495559891705,0.0775477060495331,0.01664636622005684,0.013688301142625137,751463,187,21
203.0,209,5833.570735,0.028708133971291867,0.018125527723050944,0.04939209726443769,3.037313432835821,0.570279892364783,0.07733318046319651,0.016509974776427426,0.0138729649163036,746433,164,21
207.0,209,5882.216271,0.009569377990430622,0.01802603760988094,0.0071633237822349575,3.1529850746268657,0.5610233235080943,0.07789926916322021,0.01608973995807603,0.014220157498158744,755140,168,21
209.0,209,5924.124911,0.0,0.017818841775284606,0.0,3.16044776119403,0.5557241452083951,0.0780515117581187,0.015789473684210527,0.01427771556550952,764985,200,21
205.0,209,5968.442471,0.019138755980861243,0.01783384080034798,0.016467065868263474,3.175373134328358,0.5549059220993112,0.07788541378355937,0.015554940492665375,0.013783559368945474,767068,161,21
208.0,209,6018.512391,0.004784688995215311,0.017687221117144238,0.00804093567251462,3.0970149253731343,0.5716108597029373,0.07902369616373885,0.014338094456301647,0.011547091336945219,747873,184,21
209.0,209,6073.450692,0.0,0.01749069643806486,0.0,3.0522388059701493,0.5774483944552389,0.07856292609024998,0.013364354507087978,0.011957580348447138,744871,182,21
209.0,209,6126.250484,0.0,0.01729849098270151,0.0,3.08955223880597,0.5752276731553863,0.07795195548659782,0.012840404472740891,0.012840404472740891,733229,177,20
203.0,209,6198.526682,0.028708133971291867,0.017422508841273145,0.03762227238525207,3.1902985074626864,0.5555488251416743,0.07843759923785329,0.012861225785963798,0.014290250873293109,776378,122,19
202.0,209,6259.867956,0.03349282296650718,0.017595307917888565,0.04442771084337349,3.2276119402985075,0.5491855410832864,0.07834101382488479,0.013615416841223292,0.014086719731881022,801294,151,21
207.0,209,6309.939012,0.009569377990430622,0.017509925684617733,0.01293103448275862,3.0671641791044775,0.561980613522722,0.07827798787753198,0.013365798062477336,0.013469408900170957,787663,200,21
209.0,209,6371.33742,0.0,0.017325610677411233,0.0,3.1343283582089554,0.5554855308319292,0.07764452644526446,0.012453874538745387,0.013940139401394014,774267,173,20
209.0,209,6424.664091,0.0,0.0171451355661882,0.0,3.078358208955224,0.5624652639351153,0.07819076111759038,0.012372597738451396,0.013336037726281629,783032,200,21
209.0,209,6494.310309,0.0,0.01696838159127904,0.0,3.014925373134328,0.5663828009561935,0.07747114902157551,0.012393376818866032,0.013296537882589061,767299,158,20
209.0,209,6553.295414,0.0,0.016795234840347624,0.0,3.044776119402985,0.5625917889278693,0.07756095138785442,0.012066140324743036,0.01102338745717265,756662,190,21
208.0,209,6609.021883,0.004784688995215311,0.016673916195447294,0.007331378299120235,2.985074626865672,0.5734937881881282,0.07780016710080111,0.012041087138153045,0.010468373716026933,747264,195,21
209.0,209,6677.711473,0.0,0.016507177033492824,0.0,3.033582089552239,0.5617964953971414,0.07725238373224362,0.011480832846857365,0.010605176104300448,736130,184,21
209.0,209,6722.076882,0.0,0.01634373963712161,0.0,3.1044776119402986,0.5705433848623838,0.07657115338309656,0.011220804237900313,0.011365278112208043,720315,191,20
209.0,209,6774.287542,0.0,0.0161835068955812,0.0,2.985074626865672,0.5815329743341386,0.0763802803470964,0.011061314007819205,0.011395060551158577,720412,192,20
209.0,209,6839.631894,0.0,0.016026385469410508,0.0,3.1417910447761193,0.5600429037767141,0.07647641977057074,0.010291271302459519,0.012982108294387009,732915,173,21
209.0,209,6888.846557,0.0,0.015872285609127713,0.0,3.138059701492537,0.5500444534752539,0.07708489154824233,0.010330964846671653,0.012668287210172028,770442,184,21
202.0,209,6949.07054,0.03349282296650718,0.016040100250626566,0.04772902232486528,3.324626865671642,0.5335955245289224,0.07687320552005186,0.010465870149115495,0.011716217467815133,780253,131,20
194.0,209,7006.419423,0.07177033492822966,0.01656585718154735,0.1008462623413258,3.235074626865672,0.5499923479752779,0.07609693409216083,0.010464475858270608,0.010739856801909307,761534,160,21
209.0,209,7051.84211,0.0,0.016411036086392702,0.0,3.123134328358209,0.5534908600499528,0.07564667909260353,0.010455971268809382,0.01050143201345638,753169,205,21
199.0,209,7109.434323,0.04784688995215311,0.016702108807371965,0.06708268330733229,3.253731343283582,0.5432999688849204,0.07586952604072805,0.009911695801045233,0.010542440079293567,776779,145,21
203.0,209,7159.411838,0.028708133971291867,0.01681225582722444,0.03774879890185312,3.33955223880597,0.5387551348061366,0.0757623108174472,0.009955801598285638,0.010134380999151748,794858,186,21
209.0,209,7205.808075,0.0,0.01665941713788604,0.0,3.2425373134328357,0.5474695339390004,0.0763004246284501,0.00937721160651097,0.009819532908704883,767946,195,21
