#{"t_start": 1709828614.6834962, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle
209.0,209,73.285863,0.0,0.0,0.0,1.3955223880597014,0.8753107835722185,0.7238095238095238,0.0,0.0,150980,31,16
209.0,209,181.237839,0.0,0.0,0.0,1.671641791044776,0.8251628870289253,0.6181384248210023,0.00477326968973747,0.0,259782,43,17
209.0,209,313.065921,0.0,0.0,0.0,1.8171641791044777,0.7968839699227648,0.49363057324840764,0.04936305732484077,0.0,324936,68,19
209.0,209,446.999396,0.0,0.0,0.0,1.8507462686567164,0.7838715012495079,0.39904420549581837,0.05734767025089606,0.0,358870,81,20
209.0,209,593.816726,0.0,0.0,0.0,1.8917910447761195,0.7683533939586286,0.34321223709369025,0.06309751434034416,0.0,405783,91,21
209.0,209,746.365551,0.0,0.0,0.0,2.16044776119403,0.7295523862471516,0.300398406374502,0.09641434262948208,0.0,473897,84,19
209.0,209,895.337183,0.0,0.0,0.0,2.0858208955223883,0.7279825080217893,0.26229508196721313,0.09494535519125682,0.0,490871,116,20
209.0,209,1040.879867,0.0,0.0,0.0,2.1417910447761193,0.714994974647169,0.2367005379557681,0.09025702331141662,0.0,519606,141,20
209.0,209,1190.603784,0.0,0.0,0.0,2.1828358208955225,0.701093974828015,0.2263549415515409,0.0765143464399575,0.0,531858,110,21
209.0,209,1341.840664,0.0,0.0,0.0,2.3358208955223883,0.6908804489012391,0.20420851267336204,0.07125777140124342,0.0052606408417025345,557469,118,19
209.0,209,1475.045897,0.0,0.0,0.0,2.3507462686567164,0.6836497272632307,0.19434782608695653,0.06347826086956522,0.008695652173913044,556042,139,19
209.0,209,1597.786783,0.0,0.0,0.0,2.373134328358209,0.6632468465325473,0.18055001992825828,0.05819051414906337,0.015942606616181746,576213,122,18
209.0,209,1727.447522,0.0,0.0,0.0,2.388059701492537,0.6730248659552963,0.16850625459896984,0.05371596762325239,0.022810890360559236,591111,147,21
209.0,209,1845.314162,0.0,0.0,0.0,2.466417910447761,0.6623227982176711,0.1660403143149983,0.05193030406559617,0.02528185855825077,612406,123,21
209.0,209,1981.200075,0.0,0.0,0.0,2.537313432835821,0.6502165997532087,0.15656887755102042,0.04783163265306122,0.029974489795918366,624184,145,21
209.0,209,2099.220376,0.0,0.0,0.0,2.6977611940298507,0.629681276763058,0.15216741405082213,0.04245142002989537,0.03527653213751868,640327,123,20
209.0,209,2220.45003,0.0,0.0,0.0,2.6865671641791047,0.6254982980517428,0.15053460889138998,0.03967360720315138,0.04023635340461452,656526,128,21
209.0,209,2321.457118,0.0,0.0,0.0,2.6455223880597014,0.6377615412298638,0.14243954291788466,0.03773584905660377,0.043316502790326866,646758,155,21
209.0,209,2410.651402,0.0,0.0,0.0,2.5223880597014925,0.654433084319375,0.13595166163141995,0.03499496475327291,0.03927492447129909,635618,184,21
209.0,209,2539.770615,0.0,0.0,0.0,2.6529850746268657,0.6312332102224533,0.13178665391054772,0.036115761779478596,0.03922506577373834,663814,125,21
209.0,209,2640.121556,0.0,0.0,0.0,2.671641791044776,0.6387295287748002,0.12414578587699317,0.03211845102505695,0.0387243735763098,632593,156,20
209.0,209,2716.553105,0.0,0.0,0.0,2.9291044776119404,0.6145746034028958,0.11741682974559686,0.027832137421178516,0.0426179604261796,634405,184,20
209.0,209,2807.188091,0.0,0.0,0.0,3.16044776119403,0.5922177927378581,0.11397670549084858,0.02683028286189684,0.04492512479201331,653897,158,21
209.0,209,2889.779158,0.0,0.0,0.0,3.138059701492537,0.5866976758131521,0.10902930037871238,0.02491528802072952,0.04783735299980068,667684,162,21
209.0,209,2975.489768,0.0,0.0,0.0,2.955223880597015,0.598346810413882,0.11021814006888633,0.025832376578645237,0.045924225028702644,680736,138,20
209.0,209,3054.936015,0.0,0.0,0.0,3.0261194029850746,0.6027118728951639,0.10524379024839006,0.025758969641214352,0.045998160073597055,684435,164,21
209.0,209,3121.149907,0.0,0.0,0.0,2.783582089552239,0.6258464635110107,0.10453579021970234,0.024982282069454288,0.04411764705882353,656924,186,20
209.0,209,3223.85799,0.0,0.0,0.0,2.962686567164179,0.5989080234692425,0.10439091064411413,0.02631129335383564,0.0474970100803007,704063,140,21
209.0,209,3296.404231,0.0,0.0,0.0,3.0970149253731343,0.5832730746372463,0.10062685582316068,0.024744308808973936,0.04800395908940944,692217,166,20
209.0,209,3349.344818,0.0,0.0,0.0,3.3992537313432836,0.5522936740235469,0.10030298198054537,0.023600701642481264,0.04879604528783288,722506,186,21
206.0,209,3403.467596,0.014354066985645933,0.0004630344188918043,0.019256308100929615,3.25,0.564245030402753,0.09834800061756986,0.022850084915856106,0.04199475065616798,710816,175,20
209.0,209,3454.526013,0.0,0.0004485645933014354,0.0,3.1082089552238807,0.5787792588234453,0.09721806760394855,0.02138797487286868,0.03544720311097816,694198,178,20
209.0,209,3520.537466,0.0,0.00043497172683775554,0.0,3.0074626865671643,0.5987278261653951,0.09630166787527193,0.018564176939811456,0.03422770123277737,680568,201,21
209.0,209,3594.896269,0.0,0.00042217844075429216,0.0,2.8805970149253732,0.6132052597639404,0.0941722972972973,0.015906531531531532,0.034065315315315314,658034,190,21
209.0,209,3703.531721,0.0,0.0004101161995898838,0.0,2.966417910447761,0.5977835294162526,0.09489949405168878,0.017776562286339396,0.030220155886776973,674723,126,20
209.0,209,3786.547304,0.0,0.00039872408293460925,0.0,3.0634328358208953,0.5790542869988669,0.09571922361074182,0.017947354427014093,0.03164052113799522,695694,146,21
209.0,209,3860.452848,0.0,0.000387947756368809,0.0,2.8694029850746268,0.6045595623299843,0.09222610270340188,0.01785021342646488,0.028844910102186004,665211,176,20
209.0,209,3910.93235,0.0,0.0003777386048854193,0.0,2.735074626865672,0.6268236337443878,0.08979848866498741,0.019143576826196475,0.027204030226700253,654449,222,21
209.0,209,4013.118552,0.0,0.000368052999631947,0.0,2.75,0.6197998123420873,0.09056325929561909,0.017670879862559823,0.02687446312430973,663078,153,21
209.0,209,4077.44756,0.0,0.0003588516746411483,0.0,2.5111940298507465,0.6503872317705068,0.0890165111270639,0.016271835367312755,0.025963149078726967,636342,203,21
209.0,209,4178.861774,0.0,0.000350099194771852,0.0,2.720149253731343,0.6294127073209336,0.08952959028831563,0.015407960779736198,0.02614684253530991,666155,155,20
209.0,209,4262.841869,0.0,0.0003417634996582365,0.0,2.764925373134328,0.6280997573335801,0.08853691886964449,0.013787602552415679,0.02666362807657247,659544,166,20
209.0,209,4358.161318,0.0,0.0003338155112940915,0.0,2.787313432835821,0.6279817675765029,0.0882582081246522,0.012910406232609905,0.02648859209794101,683918,169,21
209.0,209,4437.689803,0.0,0.00032622879512831667,0.0,2.6529850746268657,0.6422317162944489,0.08820970197955189,0.011311725038068305,0.02512508157494018,665547,188,21
209.0,209,4526.900747,0.0,0.0003189792663476874,0.0,2.7313432835820897,0.6180504338689548,0.08699351270870999,0.011804743167074338,0.02584281612251409,675078,175,20
209.0,209,4609.188632,0.0,0.00031204493447056374,0.0,2.708955223880597,0.6289314028072988,0.08551810237203496,0.012380357885975864,0.026529338327091135,681487,198,21
209.0,209,4678.143494,0.0,0.00030540568054565815,0.0,2.791044776119403,0.634071737657035,0.08318908461460137,0.010589552998676305,0.025455656246818042,642640,212,21
209.0,209,4772.022065,0.0,0.0002990430622009569,0.0,2.764925373134328,0.6232176276872681,0.0847457627118644,0.009970089730807577,0.02452642073778664,673881,163,20
209.0,209,4858.742762,0.0,0.00029294014256420274,0.0,2.787313432835821,0.6146583004983411,0.08526223263990625,0.009668912979783182,0.021974802226779958,684253,164,21
209.0,209,4931.61323,0.0,0.00028708133971291867,0.0,2.720149253731343,0.6250049910034197,0.08499234303215926,0.009571209800918835,0.02230091883614089,682094,174,21
209.0,209,4998.65726,0.0,0.00028145229383619476,0.0,2.667910447761194,0.6423151381971342,0.08341934878483626,0.008726658534296706,0.020174533170685936,654051,181,20
209.0,209,5108.100176,0.0,0.00027603974972396027,0.0,2.5597014925373136,0.6476308122901477,0.08255107675317504,0.008650837474691699,0.01849806736609608,640179,159,20
209.0,209,5205.330943,0.0,0.0002708314525593572,0.0,2.6082089552238807,0.639271930213305,0.08234762979683972,0.008397291196388261,0.019683972911963884,648784,179,21
209.0,209,5308.42598,0.0,0.0002658160552897395,0.0,2.735074626865672,0.6164314228579331,0.08197447713576746,0.008507621410847217,0.020471464019851116,660734,139,21
209.0,209,5395.3117,0.0,0.0002609830361026533,0.0,2.6828358208955225,0.6277160142826927,0.0822239624119029,0.006351692334464457,0.020882276168102322,658656,179,21
209.0,209,5469.570462,0.0,0.0002563226247436774,0.0,2.6082089552238807,0.6280421912552705,0.08237908049906,0.0058964279610323024,0.01845838318236199,651321,184,21
209.0,209,5558.573336,0.0,0.0002518257365902795,0.0,2.593283582089552,0.6353585281759482,0.08135337083368314,0.005876920493661322,0.018134497523297793,633247,187,21
209.0,209,5651.89943,0.0,0.0002474839135456195,0.0,2.5522388059701493,0.6453622043981785,0.08094059405940594,0.004537953795379538,0.017986798679867987,641844,193,21
209.0,209,5757.82217,0.0,0.0002432892709431514,0.0,2.7723880597014925,0.616006344641511,0.08135290777840863,0.003974369373022954,0.019060751074701923,652742,163,21
209.0,209,5834.151361,0.0,0.00023923444976076556,0.0,2.6940298507462686,0.6195514700147507,0.08159196044026161,0.0029510288722284254,0.019381081512202903,654847,197,21
209.0,209,5915.415981,0.0,0.00023531257353517923,0.0,2.701492537313433,0.6148367947350728,0.08143092492351141,0.002118145445987291,0.019847807327214247,652987,180,20
209.0,209,6009.176156,0.0,0.00023151720944590215,0.0,2.783582089552239,0.6110290904783064,0.08081197900586601,0.001234949058351343,0.020222290830503243,652857,151,20
209.0,209,6097.201073,0.0,0.000227842333105491,0.0,2.783582089552239,0.6059769526877474,0.08188378275731105,0.0006836308393467528,0.021496391948347893,674253,172,21
209.0,209,6215.828062,0.0,0.0002242822966507177,0.0,3.0074626865671643,0.5852610021161428,0.08105278899356962,0.0008972633467922835,0.022581127560939135,696246,121,20
209.0,209,6302.439353,0.0,0.0002208317997791682,0.0,3.3022388059701493,0.5478500900301825,0.08054185378782301,0.0008834572627549142,0.023779724655819776,718711,147,21
209.0,209,6382.355185,0.0,0.00021748586341887777,0.0,3.4365671641791047,0.5365116575500485,0.07917633410672854,0.0006525522041763341,0.02414443155452436,727920,157,19
