#{"t_start": 1724246303.2323601, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level,average_path_index,path_index,physical_paths
199.0,199,5.867521,0.0,0.0,0.0,2.4402985074626864,0.8954004287424399,0.93,0.0,0.0,467.7578947368421,0,0,23.84544702213511,5.968421052631579,0.9947368421052631,189,189
199.0,199,11.401548,0.0,0.0,0.0,3.574626865671642,0.8242462213551027,0.8345864661654135,0.005012531328320802,0.0,484.2514619883041,0,0,23.661615601692333,5.964912280701754,0.9941520467836257,170,170
199.0,199,16.877608,0.0,0.0,0.0,4.361940298507463,0.7782016792493278,0.754180602006689,0.04180602006688963,0.0,428.45238095238096,0,0,24.02805292148197,5.964285714285714,0.9940476190476191,167,167
199.0,199,22.125027,0.0,0.0,0.0,4.985074626865671,0.740469156101924,0.685069008782936,0.05771643663739021,0.0,444.12418300653593,0,0,23.87098205738612,5.96078431372549,0.9934640522875817,152,152
199.0,199,27.017081,0.0,0.0,0.0,5.600746268656716,0.7057060655813074,0.6134538152610441,0.07228915662650602,0.0,433.1857142857143,0,0,23.883670962227846,5.957142857142857,0.9928571428571429,139,139
199.0,199,31.872029,0.0,0.0,0.0,6.380597014925373,0.6553742203836865,0.5656903765690376,0.08786610878661087,0.00502092050209205,484.8321167883212,0,0,23.268674311719305,5.956204379562044,0.9927007299270073,136,136
199.0,199,36.723719,0.0,0.0,0.0,6.947761194029851,0.6200741342412226,0.5157819225251076,0.08680057388809183,0.019368723098995694,460.88235294117646,0,0,23.337062392207105,5.955882352941177,0.9926470588235294,135,135
199.0,199,41.475844,0.0,0.0,0.0,7.473880597014926,0.5842173823393474,0.46390458254865036,0.09165097300690521,0.032015065913371,465.8666666666667,0,0,23.043733276363405,5.894308943089431,0.9916666666666667,119,119
199.0,199,46.050044,0.0,0.0,0.0,7.641791044776119,0.5775091049229674,0.42354910714285715,0.09151785714285714,0.037388392857142856,415.62831858407077,0,0,23.660822288163278,5.879310344827586,0.9911504424778761,112,112
199.0,199,50.662834,0.0,0.0,0.0,7.996268656716418,0.5606680677724678,0.389251632345555,0.09693621295831241,0.03666499246609744,474.46610169491527,0,0,23.42693916936377,5.932203389830509,0.9915254237288136,117,117
199.0,199,55.065359,0.0,0.0,0.0,8.347014925373134,0.537167867751057,0.35799086757990867,0.09223744292237443,0.04246575342465753,430.4727272727273,0,0,23.37900752180937,5.881818181818182,0.990909090909091,109,109
199.0,199,59.473951,0.0,0.0,0.0,8.526119402985074,0.5255610955393625,0.33863541230640437,0.09208874005860193,0.043532858936793636,435.9339622641509,0,0,23.64237297358461,5.89622641509434,0.9905660377358491,105,105
199.0,199,63.926651,0.0,0.0,0.0,8.865671641791044,0.5033473024618554,0.3168469860896445,0.08964451313755796,0.05023183925811438,431.7238095238095,0,0,23.16891123322839,5.803738317757009,0.9904761904761905,104,104
199.0,199,68.284498,0.0,0.0,0.0,9.335820895522389,0.4756905804147158,0.29673484033010405,0.08683171869393613,0.0563329745245784,501.66355140186914,0,0,22.456002329169756,5.801801801801802,0.9906542056074766,106,106
199.0,199,72.62318,0.0,0.0,0.0,9.604477611940299,0.46157229520595416,0.28466175485599465,0.08439383791024782,0.058941728064300064,431.06542056074767,0,0,23.480596297618735,5.846846846846847,1.0,107,106
199.0,199,77.051994,0.0,0.0,0.0,9.794776119402986,0.45431056536822617,0.2731554160125589,0.08383045525902669,0.0609105180533752,397.0175438596491,0,0,23.85218619684254,5.913043478260869,1.0701754385964912,122,113
196.0,199,81.460408,0.01507537688442211,0.0008867868755542418,0.025039123630672927,9.671641791044776,0.46172017384123243,0.2623484176279207,0.0813368825791186,0.06299911268855368,417.33962264150944,0,0,23.69123189129774,5.9245283018867925,1.0943396226415094,116,105
198.0,199,85.719604,0.005025125628140704,0.0011166945840312675,0.00333889816360601,9.73134328358209,0.4580235497680138,0.2478345906677843,0.07879295892707461,0.06202849958088852,441.2903225806452,0,0,23.41435906915431,5.882978723404255,1.021505376344086,95,92
197.0,199,90.32688,0.010050251256281407,0.0015868817773075905,0.013533834586466165,9.951492537313433,0.45230080692607916,0.2354343220338983,0.07759533898305085,0.0625,446.38392857142856,0,0,23.601266283948924,5.920353982300885,1.1160714285714286,125,111
198.0,199,94.707678,0.005025125628140704,0.0017587939698492463,0.009933774834437087,9.955223880597014,0.4525558121378619,0.22269753397081027,0.07574232511323603,0.06316054353296427,452.252427184466,0,0,23.574739868531523,5.893203883495145,1.029126213592233,106,102
197.0,199,99.108809,0.010050251256281407,0.0021536252692031586,0.011014948859166011,10.17910447761194,0.44450156125306833,0.21433708942699592,0.07528170702469432,0.06425317669623591,432.73214285714283,0,0,23.590372074471517,5.911504424778761,1.0446428571428572,117,111
197.0,199,103.534332,0.010050251256281407,0.002512562814070352,0.012708498808578236,10.130597014925373,0.44226888874795134,0.20695970695970695,0.07257326007326008,0.06593406593406594,465.57547169811323,0,0,23.168228014426,5.915094339622642,1.0377358490566038,110,105
196.0,199,107.939829,0.01507537688442211,0.00305877212147695,0.024115755627009645,10.145522388059701,0.44363325523489644,0.19960560911481157,0.06836108676599474,0.06660823838737949,442.8181818181818,0,0,23.427453120019646,5.88,1.101010101010101,109,98
193.0,199,112.362073,0.03015075376884422,0.0041876046901172526,0.04671417260490895,10.14179104477612,0.4429180215846183,0.19381963422324994,0.06516712213579988,0.06621820475089342,470.34615384615387,0,0,23.367039384475184,5.9326923076923075,1.1153846153846154,116,103
198.0,199,116.895608,0.005025125628140704,0.004221105527638191,0.0037965072133637054,10.208955223880597,0.44054300566141813,0.18890010090817355,0.06458123107971746,0.06599394550958627,430.3070175438597,0,0,23.829350704609638,5.904347826086957,1.131578947368421,129,113
197.0,199,121.363086,0.010050251256281407,0.004445303440278315,0.016897081413210446,10.138059701492537,0.43881233595328617,0.1828416149068323,0.06463509316770186,0.06599378881987578,402.5,0,0,23.971735370583517,5.9298245614035086,1.0175438596491229,116,113
198.0,199,125.842269,0.005025125628140704,0.00446677833612507,0.0015698587127158557,10.190298507462687,0.4382272829742672,0.17682242990654207,0.06448598130841121,0.06654205607476636,436.8157894736842,0,0,23.511228558881236,5.9035087719298245,1.0,114,113
195.0,199,130.305657,0.020100502512562814,0.005025125628140704,0.020569620253164556,10.242537313432836,0.43521669082588404,0.17168620378719568,0.06257889990982868,0.06762849413886383,440.3888888888889,0,0,23.60581476124809,5.907407407407407,1.1018518518518519,119,107
197.0,199,134.833355,0.010050251256281407,0.005198405822214521,0.009723261032161555,10.373134328358208,0.42973542651146257,0.1668408220132358,0.06165099268547544,0.06809474050853362,443.1284403669725,0,0,23.40049228727011,5.909090909090909,1.036697247706422,113,108
194.0,199,139.117065,0.02512562814070352,0.005862646566164154,0.03721298495645289,10.470149253731343,0.42621787127146693,0.15902964959568733,0.05913072776280323,0.06923854447439354,465.2608695652174,0,0,22.896035987721532,5.851063829787234,1.141304347826087,105,91
198.0,199,143.622791,0.005025125628140704,0.005835629761711785,0.003695491500369549,10.57089552238806,0.42406025425547467,0.15585262471470493,0.05673296380828171,0.06977502445386372,483.3272727272727,0,0,23.28374501277093,5.918181818181818,1.0545454545454545,116,109
196.0,199,148.184921,0.01507537688442211,0.006124371859296482,0.020482809070958303,10.582089552238806,0.4215858518332098,0.15039494470774092,0.05529225908372828,0.0703001579778831,475.10434782608695,0,0,23.048727662869133,5.880341880341881,1.182608695652174,136,114
198.0,199,152.653733,0.005025125628140704,0.006091061367443277,0.006632277081798084,10.537313432835822,0.4231624554802232,0.14598651960784315,0.05330882352941176,0.07107843137254902,412.1801801801802,0,0,23.643704463371687,5.873873873873874,1.027027027027027,114,110
