#{"t_start": 1724664251.367457, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level,average_path_index,path_index,physical_paths
199.0,199,53.109894,0.0,0.0,0.0,1.8805970149253732,0.9250139575847103,0.93,0.0,0.0,509.35263157894735,44,16,23.466213052257945,5.968421052631579,1.7526315789473683,333,189
199.0,199,137.328589,0.0,0.0,0.0,2.496268656716418,0.8824365895679457,0.8421052631578947,0.0,0.0,534.280701754386,68,18,23.26170475838449,5.964912280701754,1.9005847953216375,325,170
199.0,199,267.961409,0.0,0.0,0.0,2.917910447761194,0.8501444959964275,0.8076923076923077,0.0,0.0,469.5952380952381,104,20,23.680380936467827,5.964285714285714,1.7380952380952381,292,167
199.0,199,414.888943,0.0,0.0,0.0,3.287313432835821,0.8223395324638947,0.7515683814303639,0.0,0.0,491.39869281045753,115,20,23.39021936299413,5.96078431372549,1.7647058823529411,270,152
199.0,199,556.516822,0.0,0.0,0.0,3.5970149253731343,0.7967467408436801,0.6726907630522089,0.028112449799196786,0.0,477.62857142857143,125,20,23.541443304413626,5.957142857142857,1.6785714285714286,235,139
199.0,199,732.982457,0.0,0.0,0.0,3.9738805970149254,0.7675116096958237,0.606694560669456,0.058577405857740586,0.0,532.1897810218978,115,20,23.127596073021444,5.956204379562044,1.8759124087591241,257,136
199.0,199,925.929585,0.0,0.0,0.0,4.291044776119403,0.7484342531945339,0.5466284074605452,0.08536585365853659,0.0,501.30882352941177,136,20,23.370658476800255,5.955882352941177,1.7794117647058822,242,135
199.0,199,1125.875049,0.0,0.0,0.0,4.447761194029851,0.7366711665627417,0.4908976773383553,0.1029504080351538,0.0,504.3,132,20,23.231925788812692,5.95,1.7333333333333334,208,119
199.0,199,1308.914553,0.0,0.0,0.0,4.5783582089552235,0.7255035876110636,0.4486607142857143,0.11049107142857142,0.0,473.05309734513276,136,20,23.51539331785035,5.946902654867257,1.8141592920353982,205,112
199.0,199,1474.791808,0.0,0.0,0.0,4.787313432835821,0.7103394258657584,0.41185334003013563,0.11752887995981919,0.0,520.5294117647059,144,20,23.054870546001776,5.949579831932773,1.7563025210084033,209,118
199.0,199,1661.627402,0.0,0.0,0.0,4.888059701492537,0.7053734166889015,0.38538812785388127,0.11232876712328767,0.0,483.2972972972973,154,19,23.246151512067833,5.945945945945946,1.8108108108108107,201,110
199.0,199,1865.205672,0.0,0.0,0.0,4.880597014925373,0.7019489636284114,0.35747174550020927,0.11469233989116785,0.0,488.0660377358491,128,19,23.215251190884516,5.943396226415095,1.820754716981132,193,105
199.0,199,2055.077229,0.0,0.0,0.0,5.063432835820896,0.686353334417024,0.3400309119010819,0.11282843894899536,0.0,491.5047619047619,146,20,23.369958956103048,5.942857142857143,1.8666666666666667,196,104
199.0,199,2223.087856,0.0,0.0,0.0,5.302238805970149,0.6752525143812901,0.32005740940078936,0.116254036598493,0.0,549.8411214953271,158,20,22.78277519954389,5.94392523364486,1.897196261682243,203,106
199.0,199,2357.637181,0.0,0.0,0.0,5.298507462686567,0.6660390711804484,0.30274614869390487,0.11386470194239785,0.0006697923643670462,499.1682242990654,190,20,23.288184930204743,5.94392523364486,1.8224299065420562,195,106
199.0,199,2538.490187,0.0,0.0,0.0,5.298507462686567,0.6664294604720098,0.29010989010989013,0.1130298273155416,0.0015698587127158557,448.4869565217391,148,20,23.47267262073395,5.947826086956522,1.7565217391304349,202,114
199.0,199,2714.282082,0.0,0.0,0.0,5.4664179104477615,0.6504899641312967,0.2763002364066194,0.11022458628841608,0.007978723404255319,472.43243243243245,148,20,23.1064133148336,5.945945945945946,1.7657657657657657,196,110
199.0,199,2882.391365,0.0,0.0,0.0,5.5335820895522385,0.6442183868358501,0.2578844543678482,0.10828914317610941,0.01032654200390734,491.4895833333333,163,20,22.916717052884582,5.9375,1.75,168,95
199.0,199,3029.450422,0.0,0.0,0.0,5.574626865671642,0.63922905730653,0.2474881015335801,0.10206240084611316,0.015335801163405606,488.3727272727273,175,20,22.99437841307395,5.927927927927928,1.8,198,109
199.0,199,3186.07822,0.0,0.0,0.0,5.623134328358209,0.6420192930577799,0.23310725948254207,0.10123084652097462,0.01833710123084652,498.0980392156863,171,20,23.092566671444114,5.9411764705882355,1.7843137254901962,182,101
199.0,199,3334.146712,0.0,0.0,0.0,5.712686567164179,0.6414044978628767,0.22464114832535886,0.09832535885167464,0.021770334928229666,491.0982142857143,172,19,23.21411621119558,5.946428571428571,1.8035714285714286,202,111
199.0,199,3541.062793,0.0,0.0,0.0,5.843283582089552,0.6320241187152859,0.21534596939940626,0.09705412194564969,0.026261703585293446,518.6036036036036,147,19,22.66328288051013,5.945945945945946,1.9189189189189189,213,110
199.0,199,3678.96683,0.0,0.0,0.0,5.802238805970149,0.6330363934740791,0.2038007863695937,0.09567496723460026,0.029925731760594147,485.7722772277228,169,20,23.120583230680193,5.9405940594059405,1.8415841584158417,186,100
199.0,199,3807.609382,0.0,0.0,0.0,5.9216417910447765,0.6212907849934715,0.19656688298095037,0.09315469960226083,0.03412183378689554,527.1574074074074,174,20,22.47563012842904,5.935185185185185,1.8518518518518519,200,107
