#{"t_start": 1724145775.5726416, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level,average_path_index,path_index,physical_paths
199.0,199,4.433091,0.0,0.0,0.0,1.962686567164179,0.8453116389628775,1.015,0.035,0.0,2096.4071856287424,0,0,14.953029723844706,3.982142857142857,1.0598802395209581,177,166
199.0,199,8.530203,0.0,0.0,0.0,2.9402985074626864,0.7437642043899698,0.8270676691729323,0.14035087719298245,0.0,2092.1052631578946,0,0,14.76610321185473,3.8497652582159625,1.0460526315789473,159,151
199.0,199,12.345154,0.0,0.0,0.0,3.1529850746268657,0.7050600761400286,0.6688963210702341,0.17558528428093645,0.0,2005.2,0,0,14.782480733689349,3.9152542372881354,1.024,128,124
199.0,199,16.128346,0.0,0.0,0.0,3.451492537313433,0.6706752325496944,0.5696361355081556,0.17440401505646172,0.0012547051442910915,2058.4033613445376,0,0,14.775357877959825,3.888888888888889,1.050420168067227,125,118
199.0,199,20.121172,0.0,0.0,0.0,3.6343283582089554,0.6532264914135109,0.4839357429718876,0.15963855421686746,0.009036144578313253,2074.358974358974,0,0,14.61023848142454,3.8313253012048194,1.188034188034188,139,116
199.0,199,24.1135,0.0,0.0,0.0,3.9141791044776117,0.6188666629179442,0.42677824267782427,0.1698744769874477,0.02510460251046025,2145.378151260504,0,0,14.374633959451412,3.7796610169491527,1.218487394957983,145,118
199.0,199,27.869426,0.0,0.0,0.0,4.037313432835821,0.5994327083081818,0.39239598278335724,0.1714490674318508,0.036585365853658534,2138.4297520661157,0,0,14.492266713419129,3.7830687830687832,1.2314049586776858,149,120
199.0,199,31.524558,0.0,0.0,0.0,4.294776119402985,0.5688526037256029,0.3502824858757062,0.1694915254237288,0.05524168236032643,2137.5,0,0,13.871891184791162,3.602272727272727,1.287037037037037,139,107
199.0,199,35.085083,0.0,0.0,0.0,4.347014925373134,0.5595150967506501,0.31529017857142855,0.15178571428571427,0.05970982142857143,2071.5,0,0,14.544643033896282,3.769230769230769,1.26,126,99
199.0,199,38.590842,0.0,0.0,0.0,4.5111940298507465,0.5351588723460692,0.2933199397287795,0.14314414866901054,0.0718232044198895,2311.6822429906542,0,0,13.526658380817425,3.4939024390243905,1.2242990654205608,131,106
199.0,199,42.220074,0.0,0.0,0.0,4.4440298507462686,0.5337380850307835,0.27945205479452057,0.13744292237442923,0.0730593607305936,2063.75,0,0,14.608677061809585,3.8435754189944134,1.25,150,119
199.0,199,45.928254,0.0,0.0,0.0,4.608208955223881,0.5187855796029388,0.2574298869820008,0.1280870657178736,0.08078694014231896,2163.716814159292,0,0,13.87286036906231,3.668639053254438,1.2300884955752212,139,112
199.0,199,49.540928,0.0,0.0,0.0,4.917910447761194,0.49507883969128735,0.2376352395672334,0.1213292117465224,0.0830757341576507,2052.2727272727275,0,0,14.128301515835043,3.6766467065868262,1.2818181818181817,141,109
199.0,199,53.135926,0.0,0.0,0.0,4.977611940298507,0.47896872919337746,0.22640832436311445,0.12055974165769645,0.08683171869393613,2048.181818181818,0,0,13.941149651396655,3.625,1.2454545454545454,137,109
198.0,199,56.706591,0.005025125628140704,0.00033500837520938025,0.006349206349206349,4.977611940298507,0.4768575843703063,0.21239530988274707,0.11658291457286432,0.09279731993299832,2092.1739130434785,0,0,13.952198561445204,3.610169491525424,1.2782608695652173,147,114
197.0,199,60.234332,0.010050251256281407,0.0009422110552763819,0.011755485893416929,5.145522388059701,0.47301087524138974,0.1983029541169076,0.10590823381521056,0.09868007542426147,2234.722222222222,0,0,14.005671251761425,3.6569767441860463,1.3333333333333333,144,107
