#{"t_start": 1724145775.6426084, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level,average_path_index,path_index,physical_paths
199.0,199,16.358775,0.0,0.0,0.0,1.507462686567164,0.890519836252647,0.88,0.17,0.0,2248.2035928143714,0,0,14.81569471263752,3.982142857142857,1.437125748502994,240,166
199.0,199,30.135961,0.0,0.0,0.0,1.8880597014925373,0.8418498997348313,0.8370927318295739,0.13784461152882205,0.0,2266.7763157894738,0,0,14.57269977939643,3.835680751173709,1.486842105263158,226,151
199.0,199,40.91174,0.0,0.0,0.0,2.0261194029850746,0.811134601832418,0.7207357859531772,0.1254180602006689,0.0,2124.0,0,0,14.674404980801734,3.9322033898305087,1.384,173,124
199.0,199,50.931703,0.0,0.0,0.0,2.138059701492537,0.7895924217942462,0.5909661229611042,0.1656210790464241,0.0,2213.75,0,0,14.76729875343135,3.9069767441860463,1.5083333333333333,181,119
199.0,199,60.105388,0.0,0.0,0.0,2.283582089552239,0.7701875563750703,0.4799196787148594,0.1827309236947791,0.0,2193.103448275862,0,0,14.592919882553572,3.8658536585365852,1.4827586206896552,172,115
199.0,199,69.016509,0.0,0.0,0.0,2.33955223880597,0.7548626966041642,0.41422594142259417,0.2125523012552301,0.0,2277.731092436975,0,0,14.643860498525223,3.8850574712643677,1.495798319327731,178,118
199.0,199,77.758829,0.0,0.0,0.0,2.529850746268657,0.7281421615360661,0.36585365853658536,0.22812051649928264,0.0,2225.0,0,0,14.645403388140144,3.9193548387096775,1.5,180,119
199.0,199,85.63453,0.0,0.0,0.0,2.746268656716418,0.7074148367124805,0.31889516635279347,0.23979912115505336,0.0,2152.293577981651,0,0,14.36633201738986,3.820359281437126,1.4587155963302751,159,108
199.0,199,92.605951,0.0,0.0,0.0,2.8171641791044775,0.6995415322334656,0.2818080357142857,0.21875,0.0005580357142857143,2144.68085106383,0,0,14.77541793278915,3.9318181818181817,1.4680851063829787,138,93
199.0,199,99.471836,0.0,0.0,0.0,2.951492537313433,0.6759336371334587,0.25615268709191363,0.20994475138121546,0.015067805123053743,2411.764705882353,0,0,13.483894584955037,3.5064102564102564,1.5294117647058822,156,101
199.0,199,107.033466,0.0,0.0,0.0,3.014925373134328,0.6650315319380052,0.23789954337899544,0.2,0.024657534246575342,2197.1311475409834,0,0,14.288396238742202,3.7945945945945945,1.4754098360655739,180,121
199.0,199,113.937201,0.0,0.0,0.0,3.1194029850746268,0.6528203605960455,0.22017580577647552,0.1929677689409795,0.03641691084135622,2189.74358974359,0,0,14.077242736865157,3.7325581395348837,1.4615384615384615,171,116
199.0,199,120.284089,0.0,0.0,0.0,3.332089552238806,0.6403007509176396,0.2017001545595054,0.17465224111282843,0.04636785162287481,2138.2075471698113,0,0,14.235772061530081,3.73125,1.5,159,105
199.0,199,126.915076,0.0,0.0,0.0,3.201492537313433,0.6420302472759338,0.1898098313598852,0.1740222461428059,0.054180121994976675,2104.1284403669724,0,0,14.233682768125222,3.8098159509202456,1.4495412844036697,158,108
199.0,199,133.125607,0.0,0.0,0.0,3.33955223880597,0.6170896298640239,0.18084393837910248,0.16309444072337576,0.0783657066309444,2206.4102564102564,0,0,13.264229624180404,3.4145077720207255,1.5128205128205128,177,116
199.0,199,138.789672,0.0,0.0,0.0,3.4888059701492535,0.6080679238045095,0.16546310832025118,0.15478806907378337,0.08131868131868132,2207.7272727272725,0,0,14.385598394395096,3.81437125748503,1.4272727272727272,157,109
199.0,199,144.411839,0.0,0.0,0.0,3.503731343283582,0.600804446539355,0.1551418439716312,0.14598108747044916,0.0797872340425532,2200.909090909091,0,0,13.686089291671651,3.623529411764706,1.4727272727272727,162,109
199.0,199,149.991053,0.0,0.0,0.0,3.7238805970149254,0.5871224948349549,0.14708344962322076,0.13871057772816076,0.08596148478928273,2180.097087378641,0,0,14.21349866056766,3.826923076923077,1.3980582524271845,144,102
199.0,199,155.851791,0.0,0.0,0.0,3.716417910447761,0.5784171923666708,0.1427815970386039,0.13141195134849287,0.09148598625066102,2155.3278688524592,0,0,13.862357770483346,3.6528497409326426,1.4262295081967213,174,121
199.0,199,161.19184,0.0,0.0,0.0,3.764925373134328,0.572735328968825,0.1386586284853052,0.1263501632755589,0.09369505149459935,2126.21359223301,0,0,13.657247714446429,3.6280487804878048,1.4854368932038835,153,102
199.0,199,166.543419,0.0,0.0,0.0,3.966417910447761,0.5559732538735297,0.13133971291866028,0.11602870813397129,0.09473684210526316,2196.818181818182,0,0,13.68677056047786,3.63953488372093,1.4090909090909092,155,109
198.0,199,171.507791,0.005025125628140704,0.00022841480127912289,0.007942811755361398,4.126865671641791,0.5406058874475889,0.12243033348560987,0.11055276381909548,0.0938784833257195,2114.0186915887853,0,0,13.996472945018148,3.725609756097561,1.4205607476635513,152,106
